stock_id,ticker,company_name,sector,industry,country,market_cap,p_e,price,change,volume,upcoming_earnings,etf,is_options_exists,round_lot_size,create_date,update_date
821037d2-aa7d-4037-8225-65b6416d89f7,SMCI,Super Micro Computer Inc,Technology,Computer Hardware,USA,404,62.79,803.32,-19.99%,404,9/25/2024,FALSE,FALSE,100,,
d9c74f94-30bc-4b71-8cf5-efdd428ec7ac,SN,SharkNinja Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,404,43.86,52.51,2.04%,404,9/26/2024,FALSE,FALSE,100,,
1859a7d5-29a5-4b85-b818-33ef95a8a01a,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,USA,404,69.64,552.91,-0.88%,404,9/27/2024,FALSE,FALSE,100,,
91cbf3f1-0d3a-4bb4-a4c8-0426b85fc48a,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,USA,404,21.57,149.96,1.32%,404,9/28/2024,FALSE,FALSE,100,,
0d1cf1c4-2432-4e92-80f4-3e90b2a8e3bc,SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA,404,51.45,423.57,-0.22%,404,9/29/2024,FALSE,FALSE,100,,
74541d5e-f1ed-44b7-89f6-9e5b7c116cc5,SPLK,Splunk Inc,Technology,Software - Infrastructure,USA,404,350.09,155.37,-0.03%,404,9/30/2024,FALSE,FALSE,100,,
ebd6d1ac-2762-4095-b1b2-4417dd12ad13,SPR,Spirit Aerosystems Holdings Inc,Industrials,Aerospace & Defense,USA,404,-,30.17,-0.33%,404,10-01-2024,FALSE,FALSE,100,,
d3026635-e1cf-40a3-b5cb-5ddfc0e1a939,SRPT,Sarepta Therapeutics Inc,Healthcare,Biotechnology,USA,404,-,134.61,7.78%,404,10-02-2024,FALSE,FALSE,100,,
55f1e32b-81d0-4c36-9730-5cbcc27c1bd2,STAG,STAG Industrial Inc,Real Estate,REIT - Industrial,USA,404,36.63,39.1,-0.05%,404,10-03-2024,FALSE,FALSE,100,,
0b4680d6-53b4-4c0e-b708-e2ff11f0db2c,SYK,Stryker Corp.,Healthcare,Medical Devices,USA,404,42.36,349.3,0.15%,404,10-04-2024,FALSE,FALSE,100,,
44e29f13-854a-4980-a9c7-5d5b9e729f5f,SYM,Symbotic Inc,Industrials,Specialty Industrial Machinery,USA,404,-,43.03,-4.80%,404,10-05-2024,FALSE,FALSE,100,,
c17b67c0-663f-42aa-b1c2-58b42e886279,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA,404,14.25,62.15,0.13%,404,10-06-2024,FALSE,FALSE,100,,
